# World_X, World_Y, World_Z, Robot_X, Robot_Y, Robot_Z
16, 0,  0, 0.117643, -0.271511, 0.016969 
27, 0,  0, 0.311711, -0.464535, 0.017328 
0,  16, 0, 0.105987,  0.292596, 0.015699 
16, 16, 0, 0.393819,  0.014554, 0.016858 
27, 16, 0, 0.590342, -0.179279, 0.017310 
0,  27, 0, 0.300331,  0.488290, 0.015313 
16, 27, 0, 0.586015,  0.209031, 0.016404 
27, 27, 0, 0.782046,  0.015246, 0.016578
25, 21, 0, 0.641873, -0.055538, 0.016974
14, 14, 0, 0.322994,  0.014453, 0.016820

# 15, 15, 0, 0.359181,  0.014693, 0.016378
# 15, 14, 0, 0.342165, -0.003059, 0.016770
# 14, 15, 0, 0.341371,  0.032177, 0.016797

# 19, 4,  0, 0.240201, -0.251472, 0.0 # 17123 
# 21, 11, 0, 0.396823, -0.161826, 0.0 # 16738 
# 11, 19, 0, 0.356554,  0.155724, 0.0 # 16044 
# 10, 24, 0, 0.426484,  0.261354, 0.0 # 16169 
# 3,  17, 0, 0.195421,  0.276964, 0.0 # 15774 
# 17, 20, 0, 0.482134,  0.068287, 0.0 # 16606 
# 16, 25, 0, 0.569394,  0.156580, 0.0 # 16234 
# 22, 26, 0, 0.677781, -0.054848, 0.0 # 17485 
